experiment,structure,x,metric,value
scaling,tree,1678381,query_us,2.2323
scaling,tree,1678381,total_hits,1035.0000
scaling,tree,1678381,node_count,2756489.0000
scaling,array,1790273,build_ms,149.3913
scaling,array,1790273,memory_bytes,14322184.0000
scaling,array,1790273,query_us,1.1561
scaling,array,1790273,total_hits,1068.0000
scaling,tree,1790273,build_ms,2236.7613
scaling,tree,1790273,memory_bytes,617255816.0000
scaling,tree,1790273,query_us,2.2712
scaling,tree,1790273,total_hits,1068.0000
scaling,tree,1790273,node_count,2945464.0000
scaling,array,1902165,build_ms,162.5127
scaling,array,1902165,memory_bytes,15217320.0000
scaling,array,1902165,query_us,1.0427
scaling,array,1902165,total_hits,1064.0000
scaling,tree,1902165,build_ms,2396.9660
scaling,tree,1902165,memory_bytes,656087048.0000
scaling,tree,1902165,query_us,2.3577
scaling,tree,1902165,total_hits,1064.0000
scaling,tree,1902165,node_count,3132428.0000
scaling,array,2014057,build_ms,179.8511
scaling,array,2014057,memory_bytes,16112456.0000
scaling,array,2014057,query_us,1.0546
scaling,array,2014057,total_hits,1107.0000
scaling,tree,2014057,build_ms,2594.1228
scaling,tree,2014057,memory_bytes,695388552.0000
scaling,tree,2014057,query_us,2.4700
scaling,tree,2014057,total_hits,1107.0000
scaling,tree,2014057,node_count,3324736.0000
scaling,array,2125949,build_ms,192.2772
scaling,array,2125949,memory_bytes,17007592.0000
scaling,array,2125949,query_us,1.0270
scaling,array,2125949,total_hits,1099.0000
scaling,tree,2125949,build_ms,2860.3266
scaling,tree,2125949,memory_bytes,733998816.0000
scaling,tree,2125949,query_us,2.5764
scaling,tree,2125949,total_hits,1099.0000
scaling,tree,2125949,node_count,3509189.0000
scaling,array,2237842,build_ms,206.0672
scaling,array,2237842,memory_bytes,17902736.0000
scaling,array,2237842,query_us,1.0365
scaling,array,2237842,total_hits,1130.0000
scaling,tree,2237842,build_ms,2984.4948
scaling,tree,2237842,memory_bytes,772608488.0000
scaling,tree,2237842,query_us,2.8958
scaling,tree,2237842,total_hits,1130.0000
scaling,tree,2237842,node_count,3693633.0000
scaling,array,2349734,build_ms,245.4574
scaling,array,2349734,memory_bytes,18797872.0000
scaling,array,2349734,query_us,1.0601
scaling,array,2349734,total_hits,1137.0000
scaling,tree,2349734,build_ms,3167.5626
scaling,tree,2349734,memory_bytes,811227992.0000
scaling,tree,2349734,query_us,2.7232
scaling,tree,2349734,total_hits,1137.0000
scaling,tree,2349734,node_count,3878191.0000
scaling,array,2461626,build_ms,256.5838
scaling,array,2461626,memory_bytes,19693008.0000
scaling,array,2461626,query_us,1.0570
scaling,array,2461626,total_hits,1117.0000
scaling,tree,2461626,build_ms,3243.1920
scaling,tree,2461626,memory_bytes,849736880.0000
scaling,tree,2461626,query_us,2.5171
scaling,tree,2461626,total_hits,1117.0000
scaling,tree,2461626,node_count,4061492.0000
scaling,array,2573518,build_ms,264.2447
scaling,array,2573518,memory_bytes,20588144.0000
scaling,array,2573518,query_us,1.1749
scaling,array,2573518,total_hits,1103.0000
scaling,tree,2573518,build_ms,3354.7297
scaling,tree,2573518,memory_bytes,888227904.0000
scaling,tree,2573518,query_us,2.5962
scaling,tree,2573518,total_hits,1103.0000
scaling,tree,2573518,node_count,4244590.0000
scaling,array,2685410,build_ms,280.7726
scaling,array,2685410,memory_bytes,21483280.0000
scaling,array,2685410,query_us,25.6070
scaling,array,2685410,total_hits,1133.0000
scaling,tree,2685410,build_ms,3621.4859
scaling,tree,2685410,memory_bytes,927097328.0000
scaling,tree,2685410,query_us,2.6059
scaling,tree,2685410,total_hits,1133.0000
scaling,tree,2685410,node_count,4431988.0000
scaling,array,2797302,build_ms,305.8038
scaling,array,2797302,memory_bytes,22378416.0000
scaling,array,2797302,query_us,1.1533
scaling,array,2797302,total_hits,1153.0000
scaling,tree,2797302,build_ms,3631.6205
scaling,tree,2797302,memory_bytes,966138440.0000
scaling,tree,2797302,query_us,2.5944
scaling,tree,2797302,total_hits,1153.0000
scaling,tree,2797302,node_count,4621337.0000
scaling,array,2909194,build_ms,331.2990
